RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
ACOT11,ACOT11,ACOT11,ACOT11,ACOT11,,0.801501992,-0.001905626,-0.433824765,1.587967481,1.396356725
ACOT13,ACOT13,ACOT13,ACOT13,ACOT13,,0.062597227,0.228726336,0.141672343,0.182034078,0.140983771
ACOT7,ACOT7,ACOT7,ACOT7,ACOT7,,-0.414087161,0.138451972,-0.066605979,-0.294256135,-0.265638242
ACOT8,ACOT8,ACOT8,ACOT8,ACOT8,,0.398263695,0.256719779,0.220074736,0.419575556,0.193152102
ACOT9,ACOT9,ACOT9,ACOT9,ACOT9,,0.070393022,0.147353616,0.035003835,0.281983653,-0.048780486
ACOX1,ACOX1,ACOX1,ACOX1,ACOX1,,0.444303458,-0.016557795,0.119691029,0.296024272,0.246218413
ACOX3,ACOX3,ACOX3,ACOX3,ACOX3,,-0.003999162,0.023312136,-0.040419213,0.048221565,-0.062182339
ACP1,ACP1,ACP1,ACP1,ACP1,,-0.241101726,-0.081956864,-0.136824887,-0.212036625,-0.10593659
ACP2,ACP2,ACP2,ACP2,ACP2,,0.402755547,0.14775219,0.003659854,0.889281921,0.533833051
ACPP,ACPP,ACPP,ACPP,ACPP,,2.439750834,-0.179232212,-0.110211525,3.512932304,2.422012915
ACPT,ACPT,ACPT,ACPT,ACPT,,-0.053681455,0.295762415,0.478818345,-0.408128064,-0.812042424
ACRC,ACRC,ACRC,ACRC,ACRC,,-0.217341843,-0.19272097,-0.063436297,-0.152416999,0.286762586
ACRV1,ACRV1,ACRV1,ACRV1,ACRV1,,-0.202544841,-0.810032249,0.373023681,-0.337738737,-0.122743263
ACSBG1,ACSBG1,ACSBG1,ACSBG1,ACSBG1,,0.382417659,-1.061094013,-0.1675447,-0.467021754,-1.227079923
ACSBG2,ACSBG2,ACSBG2,ACSBG2,ACSBG2,,0.175966782,0.68110823,-1.074435296,1.872828249,1.620916983
ACSF2,ACSF2,ACSF2,ACSF2,ACSF2,,0.721219573,0.403238783,0.048773207,1.368748851,0.732173734
ACSF3,ACSF3,ACSF3,ACSF3,ACSF3,,-0.246460748,0.190522186,0.084579544,-0.042655402,-0.112204563
ACSL1,ACSL1,ACSL1,ACSL1,ACSL1,,0.850161893,0.105878092,0.10332192,1.052395914,0.785400941
ACSL3,ACSL3,ACSL3,ACSL3,ACSL3,,0.46485448,-0.141102065,0.055368903,0.153645677,0.376405058
ACSL4,ACSL4,ACSL4,ACSL4,ACSL4,,0.425945035,-0.091682333,0.081760811,0.406238699,0.271790117
ACSL5,ACSL5,ACSL5,ACSL5,ACSL5,,0.251681836,0.063939817,0.099996775,0.218398152,0.175539507
ACSM1,ACSM1,ACSM1,ACSM1,ACSM1,,1.299955499,0.70186679,0.910457812,-0.670555148,0.035954483
ACSM3,ACSM3,ACSM3,ACSM3,ACSM3,,-0.03261984,0.696705085,0.417417801,-0.541022335,0.129063887
ACSM4,ACSM4,ACSM4,ACSM4,ACSM4,,1.382417659,0.412360173,0.8324553,0.767033585,0.161485365
ACSS2,ACSS2,ACSS2,ACSS2,ACSS2,,0.039130718,-0.396111051,-0.482793067,0.540210587,0.584675878
ACTA1,ACTA1,ACTA1,ACTA1,ACTA1,,-1.202544841,-0.383022108,-1.074435296,0.818380465,0.035954483
ACTA2,ACTA2,ACTA2,ACTA2,ACTA2,,-0.330300389,-0.391941426,-0.119450412,-0.527394371,0.082497069
ACTB,ACTB,ACTB,ACTB,ACTB,,0.14281809,-0.011701307,-0.214465419,0.529064558,0.263882235
